experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
control,6,mobile,X,midwest,41.3,25,75.6,86660565
control,11,mobile,X,midwest,25.5,94,54.6,351500463
control,20,mobile,X,midwest,23.2,54,55.4,641470924
control,26,mobile,X,midwest,30.6,101,60.1,699860022
control,4,mobile,X,northeast,27.8,65,64.8,170256835
treatment,6,mobile,X,northeast,32.1,99,68.3,278715900
treatment,7,mobile,X,northeast,41.1,105,75.1,518597688
treatment,8,mobile,X,northeast,41.5,67,77.8,560589304
control,16,mobile,X,northeast,29.4,78,62.4,254939129
control,1,mobile,X,west,20.8,102,50.1,678363570
treatment,5,mobile,X,west,38.9,91,68.5,326463214
control,12,mobile,X,west,32.6,56,41.7,369591392
treatment,18,mobile,X,west,22.8,87,76.5,657524356
control,2,mobile,X,south,43.9,99,86.3,87226038
treatment,4,mobile,X,south,24.1,118,72.4,414399613
treatment,15,mobile,X,south,33,112,72.9,471501262
treatment,7,mobile,X,midwest,24,70,57.2,590110814
control,20,mobile,X,midwest,32,100,66.1,322016995
control,22,mobile,X,midwest,18,74,64.7,273050912
control,28,mobile,X,midwest,23.9,102,64.6,570337771
control,13,mobile,X,northeast,31.3,35,67.5,606317168
control,14,mobile,X,northeast,33.5,101,68.2,322524313
treatment,15,mobile,X,northeast,21.3,29,100.3,665056768
control,15,mobile,X,northeast,21.8,40,61.5,440898994
control,18,mobile,X,northeast,30.3,56,51,539789297
treatment,26,mobile,X,northeast,20.7,104,82.7,160782529
control,8,mobile,X,west,29.2,49,63,282398288
treatment,12,mobile,X,west,30.7,134,62.1,465385217
treatment,22,mobile,X,west,25,175,97.7,580738847
control,22,mobile,X,west,30.1,105,50.6,577575442
control,3,mobile,X,south,31.4,53,70.5,223486358
treatment,6,mobile,X,south,22,95,90.6,516654493
control,7,mobile,X,south,18,67,55.3,138305548
control,8,mobile,X,south,21.7,33,45,702258138
control,18,mobile,X,south,28,93,53.1,375814832
control,20,mobile,X,south,26.1,56,42.4,208088617
treatment,23,mobile,X,south,42.5,103,70.5,304763033
control,27,mobile,X,south,37,132,50.9,464172888
control,15,mobile,X,midwest,27,105,44.3,556067011
control,22,mobile,X,midwest,24.4,86,62.1,94294719
control,23,mobile,X,midwest,22.2,38,45.3,318790607
control,27,mobile,X,midwest,22.3,86,65.9,304271114
treatment,6,mobile,X,northeast,33.5,38,80.9,141165828
treatment,11,mobile,X,northeast,28.7,68,80.8,530853133
treatment,14,mobile,X,northeast,34.9,143,79.1,147492124
control,16,mobile,X,northeast,21.5,86,49.1,593310613
treatment,18,mobile,X,northeast,35.4,45,57,674120498
treatment,21,mobile,X,northeast,22.6,48,73.3,556144016
control,21,mobile,X,northeast,26.6,65,58.4,448267090
treatment,24,mobile,X,northeast,26.6,135,79.5,115395938
treatment,25,mobile,X,northeast,33.1,91,74.3,425295748
control,2,mobile,X,west,27.7,72,64.1,566986050
treatment,17,mobile,X,west,24,66,75.9,668321823
control,17,mobile,X,west,44.4,100,51.4,316960320
control,5,mobile,X,south,33.9,110,71.3,127067270
control,7,mobile,X,south,24.3,96,67,139375304
treatment,28,mobile,X,south,25.1,72,87.9,690725380
treatment,28,mobile,X,south,35.2,68,69.2,74167603
control,12,mobile,X,midwest,19.8,56,49.7,444426128
control,13,mobile,X,midwest,48.4,40,79.1,259251932
treatment,2,mobile,X,northeast,29.8,45,57.2,293528503
control,2,mobile,X,northeast,26.7,182,76,545492409
treatment,8,mobile,X,northeast,21.2,65,44.1,226242965
treatment,11,mobile,X,northeast,32.3,30,75,171285788
control,12,mobile,X,northeast,26.1,71,52.4,240505004
treatment,13,mobile,X,northeast,27.6,209,49,566381711
treatment,18,mobile,X,northeast,21.9,81,109,647605449
control,20,mobile,X,northeast,26.6,90,78.6,172928911
treatment,25,mobile,X,northeast,35.3,67,79.1,201615111
control,2,mobile,X,west,18.9,105,59.1,559290131
control,10,mobile,X,west,34.7,67,55.7,222606147
control,12,mobile,X,west,35.1,141,40,343717811
treatment,14,mobile,X,west,36.5,98,74.7,241922106
control,25,mobile,X,west,35.6,87,53.8,424151670
control,1,mobile,X,south,19.1,209,50.4,287954410
treatment,2,mobile,X,south,42.8,53,75.6,167872688
control,12,mobile,X,south,23,168,60,516808321
control,14,mobile,X,south,24.1,13,63.8,624146094
treatment,17,mobile,X,south,22.5,173,75.1,210638053
treatment,18,mobile,X,south,37.5,70,69.8,557588703
control,20,mobile,X,south,34,184,65.3,487499188
treatment,24,mobile,X,south,25.1,52,73.3,186145823
treatment,25,mobile,X,south,40.2,56,66.7,140241858
control,4,mobile,X,midwest,23.4,44,52.7,78856285
control,21,mobile,X,midwest,39.7,69,50.2,136442622
treatment,25,mobile,X,midwest,31.8,47,56,281384783
treatment,27,mobile,X,midwest,24.9,119,80.5,121460449
control,3,mobile,X,northeast,24.4,54,60.8,504302522
treatment,4,mobile,X,northeast,34.8,125,115.5,240729458
control,7,mobile,X,northeast,50.8,52,72,127110984
treatment,9,mobile,X,northeast,28,81,57.9,338034993
control,12,mobile,X,northeast,40.8,33,68.8,91940536
control,13,mobile,X,northeast,26.5,187,73,459157106
treatment,17,mobile,X,northeast,27.5,71,69.2,320981458
control,17,mobile,X,northeast,52.1,34,65.4,272773408
control,24,mobile,X,northeast,38.6,32,51.2,632162755
treatment,26,mobile,X,northeast,22.4,89,68.4,276729488
control,5,mobile,X,west,48.2,98,44.1,461068928
control,7,mobile,X,west,40.6,33,50.7,132171140
control,9,mobile,X,west,40.4,101,53.5,73887505
control,14,mobile,X,west,18.7,99,66.3,583261815
treatment,15,mobile,X,west,26.8,54,95.4,697879184
treatment,24,mobile,X,west,18,178,101.8,506078291
control,25,mobile,X,west,26.1,53,72.3,651372084
treatment,7,mobile,X,south,34.2,49,105.5,209311810
treatment,7,mobile,X,south,27.8,94,79.9,543300890
control,9,mobile,X,south,26.4,95,48.8,350235348
treatment,13,mobile,X,south,18.8,119,73.1,77227776
control,13,mobile,X,south,35.1,135,65.1,593616983
treatment,19,mobile,X,south,27.5,56,63.7,237963822
treatment,23,mobile,X,midwest,102,95,68.4,399912845
treatment,3,mobile,X,northeast,41,67,88.2,104733679
control,4,mobile,X,northeast,26.5,217,49.6,536129422
treatment,15,mobile,X,northeast,25.1,114,73.3,625580961
treatment,18,mobile,X,northeast,19.1,118,61.3,222568281
control,13,mobile,X,west,38.3,62,74.4,87222622
control,15,mobile,X,west,19.3,107,68.2,566107041
treatment,25,mobile,X,west,32.5,81,68.5,707417432
control,7,mobile,X,south,30.4,38,37.4,286423743
treatment,26,mobile,X,south,28.2,57,49.4,397636479
control,27,mobile,X,south,22,57,67.4,532893764
treatment,14,mobile,X,midwest,25.8,54,49.5,685795240
treatment,21,mobile,X,midwest,18.8,49,75.7,201626860
control,1,mobile,X,northeast,20,135,80.3,220602642
control,5,mobile,X,northeast,33.2,110,54.8,468993221
control,6,mobile,X,northeast,42.1,101,52.1,157718938
treatment,11,mobile,X,northeast,22.7,84,68.9,389899075
control,15,mobile,X,northeast,28.7,162,55.4,666878305
treatment,17,mobile,X,northeast,36.8,67,79.2,405495930
control,18,mobile,X,northeast,28.9,193,50.6,147682898
treatment,22,mobile,X,northeast,29,86,77,352125905
control,26,mobile,X,northeast,22.7,63,66.7,466796771
control,7,mobile,X,west,19.8,145,48.1,111844916
treatment,22,mobile,X,west,28.3,106,83.6,496419531
control,24,mobile,X,west,30.5,27,68.3,195118797
treatment,19,mobile,X,south,41.7,48,84.7,527606286
treatment,22,mobile,X,south,28.9,121,83.3,651995434
control,25,mobile,X,south,18.6,165,53.9,271037734
treatment,26,mobile,X,south,20.1,45,96.2,164764754
control,26,mobile,X,south,44.3,42,52,138320298
treatment,27,mobile,X,south,28.7,142,73.1,236158631
treatment,1,mobile,X,midwest,20.9,76,82.6,523177678
control,24,mobile,X,midwest,29.1,76,52.9,125718212
control,10,mobile,X,northeast,29.2,87,65.9,345762443
control,4,mobile,X,west,18,59,69.5,558145672
treatment,13,mobile,X,west,21.1,52,70.6,703643062
control,15,mobile,X,west,31.4,66,67.7,645749728
control,17,mobile,X,west,22.4,48,52.2,270494861
treatment,18,mobile,X,west,18.2,39,65,704239353
control,26,mobile,X,west,26.5,124,82.5,85372726
treatment,6,mobile,X,south,19.9,68,99.8,350109403
control,10,mobile,X,south,34.8,91,50.7,688378663
treatment,22,mobile,X,south,21.3,147,87.6,161991641
control,27,mobile,X,south,51.9,60,53.5,323495717
treatment,12,mobile,X,midwest,26.9,102,74.5,601137171
control,14,mobile,X,midwest,20,119,48.9,99782520
treatment,20,mobile,X,midwest,33.1,53,63.2,314698874
control,2,mobile,X,northeast,28.1,47,69.1,289784038
control,2,mobile,X,northeast,28.3,56,56.4,443110908
control,4,mobile,X,northeast,22.5,209,39.3,555670998
treatment,15,mobile,X,northeast,19.8,113,58.9,708553529
treatment,22,mobile,X,northeast,18.8,175,54.4,267970407
treatment,5,mobile,X,west,19.6,68,93.8,394387831
treatment,7,mobile,X,west,26.9,112,80.1,575977827
control,13,mobile,X,west,32.6,71,52,465037981
control,16,mobile,X,west,35.7,68,51.4,456918234
treatment,17,mobile,X,west,37.7,50,88.6,519754367
control,21,mobile,X,west,29.5,191,62,709296271
control,22,mobile,X,west,23.9,101,79.8,622088814
control,24,mobile,X,west,31.3,75,71.3,75471602
treatment,3,mobile,X,south,23.7,87,50.2,504043394
control,5,mobile,X,south,20,38,81,82240240
treatment,10,mobile,X,south,21.4,57,73.2,581895097
treatment,10,mobile,X,south,25.4,71,59.8,514086749
control,19,mobile,X,south,37.1,143,52.8,537541331
treatment,21,mobile,X,south,31.2,192,127.1,426956492
control,24,mobile,X,south,29.4,129,57,359630983
control,26,mobile,X,south,35.1,83,71,316843901
treatment,23,mobile,X,midwest,33.1,46,90.7,92620407
control,1,mobile,X,northeast,19.7,85,71.9,593662390
control,6,mobile,X,northeast,27.2,64,51.1,465780752
treatment,9,mobile,X,northeast,38.6,153,67.4,641086003
treatment,21,mobile,X,northeast,24.7,72,63,515508328
control,22,mobile,X,northeast,30.3,82,52.6,403667232
treatment,1,mobile,X,west,38.7,39,88.3,250309125
treatment,2,mobile,X,west,27.1,56,84.8,672747388
treatment,8,mobile,X,west,25.5,20,49.2,650200725
treatment,9,mobile,X,west,26.8,145,78,404815689
control,14,mobile,X,west,33.8,71,64.1,404959524
control,20,mobile,X,west,22.6,84,68.7,689910385
control,26,mobile,X,west,41.8,120,56.1,387802285
control,1,mobile,X,south,31.5,98,68.4,409378461
treatment,3,mobile,X,south,43.2,136,78.1,604598875
control,5,mobile,X,south,40.5,49,63.8,266414119
control,17,mobile,X,south,31.4,83,67.3,394022552
control,13,mobile,X,midwest,22.2,109,50.6,217719499
control,18,mobile,X,midwest,56.3,80,51.1,467963910
control,26,mobile,X,midwest,34,190,61.5,267722303
control,2,mobile,X,northeast,36.7,129,56.2,245162106
control,8,mobile,X,northeast,29.6,26,63.7,337292285
control,9,mobile,X,northeast,27.6,67,42.8,326875814
treatment,12,mobile,X,northeast,36.3,84,71,305804289
control,18,mobile,X,northeast,22.8,171,59.6,319645965
control,26,mobile,X,northeast,35.9,123,45.9,582714359
treatment,27,mobile,X,northeast,32.7,103,76.1,347496313
control,12,mobile,X,west,26.2,40,60.9,377946991
control,12,mobile,X,west,36.1,157,44.4,369703912
treatment,13,mobile,X,west,28.7,80,51.5,270688788
treatment,14,mobile,X,west,29.7,89,70.3,564007491
treatment,26,mobile,X,west,20.2,86,74.9,471073817
control,1,mobile,X,south,32.1,48,50.7,307404158
treatment,2,mobile,X,south,40.2,65,56.5,170188387
control,4,mobile,X,south,34.5,162,65.6,618452761
treatment,6,mobile,X,south,38.6,47,88.2,302837557
treatment,6,mobile,X,south,39.7,59,61.3,267356293
control,8,mobile,X,south,31.9,64,56.8,388477495
treatment,15,mobile,X,south,33.8,87,62.8,165029471
control,24,mobile,X,south,28.6,109,73.6,232945575
control,6,mobile,X,midwest,20.2,17,58.7,503025053
control,9,mobile,X,midwest,37.1,159,56.2,382629100
control,14,mobile,X,midwest,36.2,156,52.5,561039041
control,14,mobile,X,midwest,21.8,100,46.8,88333942
treatment,19,mobile,X,midwest,35.3,75,62.3,414573280
treatment,25,mobile,X,midwest,29.2,114,87.9,201544977
treatment,5,mobile,X,northeast,43.4,165,301.3,241445450
control,14,mobile,X,northeast,27.1,86,88.6,412195992
treatment,17,mobile,X,northeast,25.8,91,73.6,173301292
control,18,mobile,X,northeast,26.8,52,57.5,85907590
treatment,22,mobile,X,northeast,20.8,127,81.9,137652331
control,3,mobile,X,west,33.4,177,69.4,702244994
control,4,mobile,X,west,35.4,91,64.2,241066787
treatment,8,mobile,X,west,38.2,239,53,162772080
treatment,6,mobile,X,south,21.3,76,89.7,557350082
treatment,6,mobile,X,south,24.6,157,97.1,123224265
treatment,6,mobile,X,south,34.4,120,57.3,219290559
control,13,mobile,X,south,18,167,56.6,499688207
control,13,mobile,X,south,43,94,52.3,87144160
treatment,15,mobile,X,south,29.1,64,57.6,659475750
control,15,mobile,X,south,37.2,47,44.7,434406760
control,18,mobile,X,south,31.2,59,69.1,87378969
treatment,20,mobile,X,south,33.6,36,78.5,238907159
control,21,mobile,X,south,41.5,45,67.6,636341283
control,27,mobile,X,south,33.3,70,52.9,174439620
treatment,7,mobile,X,midwest,19.9,77,81.6,308375988
treatment,23,mobile,X,midwest,23.7,63,46.1,549297203
treatment,10,mobile,X,northeast,27.8,28,81.5,299133827
control,10,mobile,X,northeast,40.6,29,53,373217584
treatment,14,mobile,X,northeast,46.3,62,65,311353471
control,20,mobile,X,northeast,40.4,59,70.6,495629699
control,24,mobile,X,northeast,28.1,60,68.9,693511302
control,28,mobile,X,northeast,21.5,51,53.9,268280134
control,18,mobile,X,west,19.5,99,79.7,320143150
control,18,mobile,X,west,22.3,50,76.3,508062585
treatment,24,mobile,X,west,32.5,27,85.1,411474147
control,24,mobile,X,west,25.3,80,47.3,310223918
treatment,1,mobile,X,south,29.4,113,58.4,142433315
treatment,3,mobile,X,south,22.3,67,81,150545356
treatment,14,mobile,X,south,28.6,78,245.5,394985867
treatment,18,mobile,X,south,37.2,51,91.5,533841892
control,18,mobile,X,south,38.1,60,50.3,558411114
control,7,mobile,X,midwest,21.6,132,53.8,580141427
control,5,mobile,X,northeast,27.5,102,71.8,478013538
control,15,mobile,X,northeast,25.6,24,69.8,182305999
control,16,mobile,X,northeast,18.7,82,45.1,653188520
control,19,mobile,X,northeast,43.4,50,57.5,479813467
control,22,mobile,X,northeast,22.1,92,51.1,267836590
treatment,23,mobile,X,northeast,32,45,74.3,694972602
control,26,mobile,X,northeast,41.3,39,59.6,142304488
control,2,mobile,X,west,19.7,52,37.7,307251807
treatment,22,mobile,X,west,20.6,159,78,415558167
control,24,mobile,X,west,38.6,108,51.9,648769119
control,26,mobile,X,west,30,111,55.7,594871564
treatment,27,mobile,X,west,29.7,97,80.1,589702136
control,3,mobile,X,south,18.4,32,38.9,385294137
control,6,mobile,X,south,31.3,67,66.8,489935831
control,19,mobile,X,south,20.3,74,69,281364772
treatment,7,mobile,X,midwest,54,75,93.4,641639094
treatment,10,mobile,X,midwest,21.5,134,73.2,286134370
control,19,mobile,X,midwest,36.8,93,54.5,593474569
control,7,mobile,X,northeast,23.1,81,52,350428233
treatment,8,mobile,X,northeast,30,46,82.2,247627454
control,13,mobile,X,northeast,27.9,44,66.3,465691571
treatment,22,mobile,X,northeast,25.3,100,79.6,529327585
control,1,mobile,X,west,18.2,79,63.5,265146242
treatment,8,mobile,X,west,24.6,79,66.7,646448129
treatment,12,mobile,X,west,32.8,92,75.7,497511536
treatment,17,mobile,X,west,31,79,86.6,377875066
control,18,mobile,X,west,22.4,168,65,206801295
treatment,4,mobile,X,south,35.4,99,84.5,85830578
treatment,8,mobile,X,south,50.1,43,227.5,586423964
treatment,9,mobile,X,south,28.4,81,78.6,345789848
treatment,17,mobile,X,south,24.1,104,82.5,288816099
control,18,mobile,X,south,35,114,43.8,182513194
treatment,28,mobile,X,south,29.7,41,62.1,309801010
treatment,20,mobile,X,midwest,20.7,57,52.4,133204621
treatment,27,mobile,X,midwest,21.2,71,78.4,107930776
treatment,3,mobile,X,northeast,26.5,41,82,199046341
treatment,13,mobile,X,northeast,21.7,89,73,332319845
control,23,mobile,X,northeast,31,68,62.2,608777738
control,23,mobile,X,northeast,26.1,61,64.8,85702398
control,24,mobile,X,northeast,23.5,137,46.8,342096945
treatment,13,mobile,X,west,18.6,68,52.7,235010328
treatment,21,mobile,X,west,18.3,81,56.7,109079155
treatment,24,mobile,X,west,22.8,103,71.2,138958820
treatment,28,mobile,X,west,18.5,69,84.6,97674086
control,5,mobile,X,south,36.1,199,41.5,468766314
control,5,mobile,X,south,24.9,32,57.6,213958881
control,17,mobile,X,south,26.9,81,69.4,343309058
treatment,22,mobile,X,south,31.4,176,70.1,464352948
control,10,mobile,X,midwest,19.4,36,51.9,697925681
control,12,mobile,X,midwest,19.3,123,56.6,513088651
treatment,16,mobile,X,midwest,19.6,44,72.8,321901482
control,16,mobile,X,midwest,40.7,29,66.6,366790706
control,16,mobile,X,midwest,51.4,122,48.5,308560435
control,26,mobile,X,midwest,29.1,81,47.8,126203359
control,26,mobile,X,midwest,44.4,20,56.5,485859416
control,28,mobile,X,midwest,24.1,226,40.9,703416018
treatment,2,mobile,X,northeast,31.2,110,58.9,461481957
control,13,mobile,X,northeast,28.4,81,62.2,455501208
control,15,mobile,X,northeast,18.8,139,50.7,77701479
treatment,22,mobile,X,northeast,40.7,114,73.2,109497250
treatment,27,mobile,X,northeast,33.3,165,62.2,260209395
treatment,1,mobile,X,west,23.3,106,60.1,441924205
control,6,mobile,X,west,27.3,100,61,416802010
treatment,7,mobile,X,west,24.2,64,77.9,477312830
control,17,mobile,X,west,21.8,79,65.7,194197379
control,18,mobile,X,west,36.5,39,39.4,667724882
treatment,19,mobile,X,west,20.7,70,60.6,348156303
control,21,mobile,X,west,33.1,118,55.8,74775920
treatment,10,mobile,X,south,26.2,61,58.9,687078478
control,10,mobile,X,south,24.5,46,51.7,655112721
treatment,28,mobile,X,south,22.6,71,74.4,357009620
control,5,mobile,X,midwest,28.7,90,50.4,656842284
treatment,6,mobile,X,midwest,27.3,32,75.7,221741410
treatment,19,mobile,X,midwest,38.9,181,73.7,500691108
control,19,mobile,X,midwest,35.5,83,77.6,120292713
control,9,mobile,X,northeast,27,176,51.1,178914731
control,13,mobile,X,northeast,25.3,40,57.5,545530230
control,16,mobile,X,northeast,22,34,63.7,595769220
treatment,23,mobile,X,northeast,21.7,156,74.7,197297666
treatment,28,mobile,X,northeast,42.5,62,50.4,341463755
control,28,mobile,X,northeast,19.1,109,43.9,212498856
control,2,mobile,X,west,23.9,58,48.8,439542414
treatment,4,mobile,X,west,33.3,65,93.3,588761425
treatment,15,mobile,X,west,18.1,45,84.6,615896400
treatment,16,mobile,X,west,21.9,56,80.6,492293874
control,16,mobile,X,west,24.1,157,69.3,121460016
control,16,mobile,X,west,29,117,65,585551598
treatment,17,mobile,X,west,46.5,202,80.7,591301396
treatment,18,mobile,X,west,30.8,60,112.4,342288885
control,21,mobile,X,west,21.2,112,56.7,274793390
treatment,1,mobile,X,south,20.5,158,66.7,619872522
control,1,mobile,X,south,20.7,158,57.7,414868457
control,1,mobile,X,south,35,66,45,294353710
control,8,mobile,X,south,46.3,113,56.9,657368303
treatment,12,mobile,X,south,19.2,40,78.7,297896964
control,12,mobile,X,south,42.1,91,49,348443285
control,16,mobile,X,south,28,91,80.1,76333621
control,17,mobile,X,south,23.7,116,49.8,125896104
control,27,mobile,X,south,43.5,143,49.3,368946591
treatment,28,mobile,X,south,18.3,149,63.4,116165926
control,3,mobile,X,midwest,30.9,35,55.3,498867969
control,7,mobile,X,midwest,21.7,51,54.6,480703490
treatment,10,mobile,X,midwest,26.4,149,99,442666859
treatment,13,mobile,X,midwest,34.3,60,63.9,573086283
control,13,mobile,X,midwest,21,131,61.4,449426431
control,14,mobile,X,midwest,19.6,34,59.6,604749953
treatment,25,mobile,X,midwest,36.4,114,75.4,455802258
treatment,8,mobile,X,northeast,20.5,116,60.2,281830601
control,12,mobile,X,northeast,22.2,66,44.4,606737210
treatment,15,mobile,X,northeast,20.9,105,86,320694799
control,15,mobile,X,west,23,78,36.6,72852241
treatment,17,mobile,X,west,23.3,101,81.2,436319104
treatment,7,mobile,X,south,23.1,73,92.6,350322575
control,7,mobile,X,south,31.5,24,89,264048902
control,16,mobile,X,south,27.1,61,61.8,280355603
control,7,mobile,X,midwest,38.6,184,56.9,85431327
control,14,mobile,X,midwest,27,236,59.2,529182334
